id,topic,treatment,submission,duration,accuracy_local,accuracy_global,effort,difficulty,num_sentences,num_clusters,local_cohesion,num_concepts,num_coh_sentences,num_non_coh_sentences,num_relations,global_cohesion,color_coding,cmap
ch25an71,transfer,control-group,2018-06-15T14:11:10Z,873.564,94,92,3,3,7,3,0.333333333333,22,2,4,29,0,no_color_coding,no-cmap
ch25an71,draft,integrated,2018-06-15T13:51:44Z,878.302,63,81,2,4,9,2,0.5,19,4,4,28,1.5,color_coding,no-cmap
ch25an71,revision,integrated,2018-06-15T13:51:44Z,848.86,100,85,1,8,14,1,0.538461538462,23,7,6,34,2.5,color_coding,no-cmap
co04ka32,transfer,control-group,2018-01-24T15:45:54Z,931.215,80,70,1,6,13,1,0.5,29,6,6,52,2.5,no_color_coding,no-cmap
co04ka32,draft,cmap,2018-01-24T15:20:24Z,909.292,42,60,2,3,10,2,0.111111111111,18,1,8,16,0.5,no_color_coding,cmap
co04ka32,revision,cmap,2018-01-24T15:20:24Z,982.721,86,84,1,8,15,2,0.428571428571,23,6,8,48,0.5,no_color_coding,cmap
da08sa21,transfer,control-group,2018-07-04T15:59:56Z,895.324,90,78,1,7,17,2,0.5625,38,9,7,67,3,no_color_coding,no-cmap
da08sa21,draft,control-group,2018-07-04T15:39:10Z,907.858,63,88,2,2,12,1,0.727272727273,27,8,3,53,2.5,no_color_coding,no-cmap
da08sa21,revision,control-group,2018-07-04T15:39:10Z,690.708,93,92,1,7,14,1,0.769230769231,32,10,3,79,3.5,no_color_coding,no-cmap
de07an02,transfer,control-group,2018-07-24T16:12:26Z,939.524,85,84,6,8,4,1,0.666666666667,14,2,1,21,0.5,no_color_coding,no-cmap
de07an02,draft,integrated,2018-07-24T15:51:45Z,930.294,80,85,4,8,7,1,0.666666666667,24,4,2,61,1,color_coding,no-cmap
de07an02,revision,integrated,2018-07-24T15:51:45Z,1032.985,90,90,9,9,7,1,0.666666666667,25,4,2,61,1,color_coding,no-cmap
do17re78,transfer,control-group,2018-06-13T11:28:48Z,935.131,96,95,2,6,10,1,0.555555555556,21,5,4,29,2.5,no_color_coding,no-cmap
do17re78,draft,cmap,2018-06-13T11:08:12Z,745.072,40,57,3,2,6,2,0.6,15,3,2,15,1,no_color_coding,cmap
do17re78,revision,cmap,2018-06-13T11:08:12Z,1019.807,79,59,2,4,11,2,0.7,24,7,3,38,2,no_color_coding,cmap
dr20ke26,transfer,control-group,2018-05-08T15:24:58Z,908.507,55,55,6,5,15,3,0.642857142857,45,9,5,102,3,no_color_coding,no-cmap
dr20ke26,draft,cmap-integrated,2018-05-08T15:06:24Z,867.444,20,40,7,6,13,1,0.5,36,6,6,75,1.5,color_coding,cmap
dr20ke26,revision,cmap-integrated,2018-05-08T15:06:24Z,948.934,40,39,4,8,17,1,0.625,46,10,6,96,1.5,color_coding,cmap
eb12cl61,transfer,control-group,2018-05-14T13:40:27Z,862.814,74,92,2,7,10,2,0.888888888889,32,8,1,54,2.5,no_color_coding,no-cmap
eb12cl61,draft,integrated,2018-05-14T13:20:08Z,1333.665,88,34,2,6,7,1,0.666666666667,19,4,2,47,2,color_coding,no-cmap
eb12cl61,revision,integrated,2018-05-14T13:20:08Z,773.86,84,95,1,8,12,1,0.818181818182,24,9,2,72,3.5,color_coding,no-cmap
en02sa52,transfer,control-group,2018-05-28T15:54:58Z,573.784,33,37,8,4,11,3,0.4,20,4,6,24,2,no_color_coding,no-cmap
en02sa52,draft,cmap-integrated,2018-05-28T15:38:42Z,442.755,34,32,7,4,6,1,1,13,5,0,21,1.5,color_coding,cmap
en02sa52,revision,cmap-integrated,2018-05-28T15:38:42Z,782.858,77,41,8,4,7,1,1,14,6,0,28,1.5,color_coding,cmap
fn17ch49,transfer,control-group,2018-02-14T15:33:49Z,920.803,40,15,1,2,14,1,0.846153846154,46,11,2,111,4,no_color_coding,no-cmap
fn17ch49,draft,integrated,2018-02-14T15:13:23Z,927.394,50,10,4,3,15,1,0.571428571429,42,8,6,77,3,color_coding,no-cmap
fn17ch49,revision,integrated,2018-02-14T15:13:23Z,962.931,90,30,2,6,16,1,0.733333333333,50,11,4,104,3.5,color_coding,no-cmap
fr01br39,transfer,control-group,2018-06-26T16:13:12Z,938.961,84,84,2,3,10,4,0.333333333333,25,3,6,29,2,no_color_coding,no-cmap
fr01br39,draft,cmap-integrated,2018-06-26T15:41:33Z,894.529,61,60,5,2,9,3,0.375,14,3,5,15,1,color_coding,cmap
fr01br39,revision,cmap-integrated,2018-06-26T15:41:33Z,830.776,87,72,3,4,10,2,0.444444444444,24,4,5,47,2.5,color_coding,cmap
fr02ma56,transfer,control-group,2017-12-21T15:47:16Z,903.173,72,72,3,3,7,1,0.5,15,3,3,21,2.5,no_color_coding,no-cmap
fr02ma56,draft,control-group,2017-12-21T15:21:55Z,904.921,31,35,5,5,4,1,1,8,3,0,19,0.5,no_color_coding,no-cmap
fr02ma56,revision,control-group,2017-12-21T15:21:55Z,897.36,75,75,3,4,4,1,1,11,3,0,29,0.5,no_color_coding,no-cmap
fr04an85,transfer,control-group,2018-01-19T14:45:20Z,868.927,65,40,2,3,8,2,0.571428571,43,4,3,NA,4,no_color_coding,no-cmap
fr04an85,draft,control-group,2018-01-19T14:19:13Z,735.792,70,90,2,6,7,1,1,15,6,0,NA,2,no_color_coding,no-cmap
fr04an85,revision,control-group,2018-01-19T14:19:13Z,1171.832,95,100,2,4,10,2,0.888888889,26,8,1,NA,2.5,no_color_coding,no-cmap
fr06su37,transfer,control-group,2018-01-24T17:34:41Z,910.13,85,75,1,2,13,5,0.0833333333333,27,1,11,38,2.5,no_color_coding,no-cmap
